编号,微信原序号,位置,物品名称,视觉识别状态,原始路径,新路径
ITEM0049,108,C4,黑板,已确认,data/C/C4/微信图片_20260913171948_108_3107.jpg,data/C/C4/ITEM0049_黑板.jpg
ITEM0050,110,C4,收录机,已确认,data/C/C4/微信图片_20260913171958_110_3107.jpg,data/C/C4/ITEM0050_收录机.jpg
ITEM0051,112,C4,手提音箱,已确认,data/C/C4/微信图片_20260913172006_112_3107.jpg,data/C/C4/ITEM0051_手提音箱.jpg
ITEM0052,114,C4,键盘,已确认,data/C/C4/微信图片_20260913172022_114_3107.jpg,data/C/C4/ITEM0052_键盘.jpg
ITEM0053,118,D2,长尾票夹,已确认,data/D/D2/微信图片_20260913172047_118_3107.jpg,data/D/D2/ITEM0053_长尾票夹.jpg
ITEM0054,120,D2,活动手牌与塑料扇,已确认,data/D/D2/微信图片_20260913172108_120_3107.jpg,data/D/D2/ITEM0054_活动手牌与塑料扇.jpg
ITEM0055,122,D2,超轻粘土,已确认,data/D/D2/微信图片_20260913172124_122_3107.jpg,data/D/D2/ITEM0055_超轻粘土.jpg
ITEM0056,124,D2,眼罩,已确认,data/D/D2/微信图片_20260913172131_124_3107.jpg,data/D/D2/ITEM0056_眼罩.jpg
ITEM0057,126,D2,防滑粉,已确认,data/D/D2/微信图片_20260913172136_126_3107.jpg,data/D/D2/ITEM0057_防滑粉.jpg
ITEM0058,128,D2,乒乓球,已确认,data/D/D2/微信图片_20260913172149_128_3107.jpg,data/D/D2/ITEM0058_乒乓球.jpg
ITEM0059,130,D2,红色罐装喷剂,待确认具体用途,data/D/D2/微信图片_20260913172158_130_3107.jpg,data/D/D2/ITEM0059_红色罐装喷剂.jpg
ITEM0060,132,D2,书签,已确认,data/D/D2/微信图片_20260913172206_132_3107.jpg,data/D/D2/ITEM0060_书签.jpg
ITEM0061,134,D2,护具与手套,已确认,data/D/D2/微信图片_20260913172225_134_3107.jpg,data/D/D2/ITEM0061_护具与手套.jpg
ITEM0062,136,D2,迷彩油彩,已确认,data/D/D2/微信图片_20260913172234_136_3107.jpg,data/D/D2/ITEM0062_迷彩油彩.jpg
ITEM0063,138,D2,乒乓球拍,已确认,data/D/D2/微信图片_20260913172244_138_3107.jpg,data/D/D2/ITEM0063_乒乓球拍.jpg
ITEM0064,140,D2,帆布鞋,已确认,data/D/D2/微信图片_20260913172256_140_3107.jpg,data/D/D2/ITEM0064_帆布鞋.jpg
ITEM0065,143,D3,学部Logo贴纸,已确认,data/D/D3/微信图片_20260913172311_143_3107.jpg,data/D/D3/ITEM0065_学部Logo贴纸.jpg
ITEM0066,145,D3,气球与打气筒,已确认,data/D/D3/微信图片_20260913172330_145_3107.jpg,data/D/D3/ITEM0066_气球与打气筒.jpg
ITEM0067,147,D3,直尺,已确认,data/D/D3/微信图片_20260913172402_147_3107.jpg,data/D/D3/ITEM0067_直尺.jpg
ITEM0068,149,D3,尼龙扎带,已确认,data/D/D3/微信图片_20260913172416_149_3107.jpg,data/D/D3/ITEM0068_尼龙扎带.jpg
ITEM0069,151,D3,透明塑料扎带,待确认具体类型,data/D/D3/微信图片_20260913172423_151_3107.jpg,data/D/D3/ITEM0069_透明塑料扎带.jpg
ITEM0070,153,D3,透明胶带,已确认,data/D/D3/微信图片_20260913172433_153_3107.jpg,data/D/D3/ITEM0070_透明胶带.jpg
ITEM0071,155,D3,彩色笔,已确认,data/D/D3/微信图片_20260913172445_155_3107.jpg,data/D/D3/ITEM0071_彩色笔.jpg
ITEM0072,157,D3,自喷漆,已确认,data/D/D3/微信图片_20260913172604_157_3107.jpg,data/D/D3/ITEM0072_自喷漆.jpg
ITEM0073,159,D3,墨镜,已确认,data/D/D3/微信图片_20260913172617_159_3107.jpg,data/D/D3/ITEM0073_墨镜.jpg
ITEM0074,161,D3,党建工作室招新报名表,已确认,data/D/D3/微信图片_20260913172639_161_3107.jpg,data/D/D3/ITEM0074_党建工作室招新报名表.jpg
ITEM0075,163,D3,针线盒,已确认,data/D/D3/微信图片_20260913172650_163_3107.jpg,data/D/D3/ITEM0075_针线盒.jpg
ITEM0076,165,D3,聘书,已确认,data/D/D3/微信图片_20260913172723_165_3107.jpg,data/D/D3/ITEM0076_聘书.jpg
ITEM0077,167,D3,双面泡棉胶带,已确认,data/D/D3/微信图片_20260913172733_167_3107.jpg,data/D/D3/ITEM0077_双面泡棉胶带.jpg
ITEM0078,170,D4,木质展示架,已确认,data/D/D4/微信图片_20260913172803_170_3107.jpg,data/D/D4/ITEM0078_木质展示架.jpg
ITEM0079,173,FLOOR,落地宣传牌与配重,区域总览,data/FLOOR/微信图片_20260913172919_173_3107.jpg,data/FLOOR/ITEM0079_落地宣传牌与配重.jpg
ITEM0080,175,FLOOR,竹竿,已确认,data/FLOOR/微信图片_20260913172930_175_3107.jpg,data/FLOOR/ITEM0080_竹竿.jpg
ITEM0081,177,FLOOR,展架配重底座,已确认,data/FLOOR/微信图片_20260913172938_177_3107.jpg,data/FLOOR/ITEM0081_展架配重底座.jpg
ITEM0082,180,FLOOR,展架支撑杆,待确认具体展架,data/FLOOR/微信图片_20260913172958_180_3107.jpg,data/FLOOR/ITEM0082_展架支撑杆.jpg
ITEM0083,182,FLOOR,宣传海报与展板,已确认,data/FLOOR/微信图片_20260913173006_182_3107.jpg,data/FLOOR/ITEM0083_宣传海报与展板.jpg
ITEM0084,184,FLOOR,黑色卷筒物料,待确认具体类型,data/FLOOR/微信图片_20260913173023_184_3107.jpg,data/FLOOR/ITEM0084_黑色卷筒物料.jpg
ITEM0085,187,A?,折叠平板车,已确认,data/A/微信图片_20260913173034_187_3107.jpg,data/A/ITEM0085_折叠平板车.jpg
ITEM0086,189,B3,塑料盆组,已确认,data/B/B3/微信图片_20260913173044_189_3107.jpg,data/B/B3/ITEM0086_塑料盆组.jpg
ITEM0087,191,FLOOR,金属收纳篮,已确认,data/FLOOR/微信图片_20260913173133_191_3107.jpg,data/FLOOR/ITEM0087_金属收纳篮.jpg
ITEM0088,193,DOOR,拾物夹,已确认,data/DOOR/微信图片_20260913173202_193_3107.jpg,data/DOOR/ITEM0088_拾物夹.jpg
ITEM0089,195,DOOR,不锈钢伸缩杆,已确认,data/DOOR/微信图片_20260913173212_195_3107.jpg,data/DOOR/ITEM0089_不锈钢伸缩杆.jpg
ITEM0090,197,DOOR,平板拖把,已确认,data/DOOR/微信图片_20260913173222_197_3107.jpg,data/DOOR/ITEM0090_平板拖把.jpg
ITEM0091,199,A?,宣传横幅与展板,区域总览,data/A/微信图片_20260913173235_199_3107.jpg,data/A/ITEM0091_宣传横幅与展板.jpg
ITEM0092,201,C4,展架圆形配重底座,已确认,data/C/C4/微信图片_20260913173255_201_3107.jpg,data/C/C4/ITEM0092_展架圆形配重底座.jpg
