编号,物品名称,位置,数量,图片路径,识别状态
ITEM0028,荧光棒,B3,若干,/data/B/B3/ITEM0028_荧光棒.jpg,已确认
ITEM0029,啦啦队彩球,B4,若干,/data/B/B4/ITEM0029_啦啦队彩球.jpg,已确认
ITEM0030,毛巾,B4,若干,/data/B/B4/ITEM0030_毛巾.jpg,已确认
ITEM0031,爱心义卖箱,B4,若干,/data/B/B4/ITEM0031_爱心义卖箱.jpg,已确认
ITEM0032,学士帽,B4,若干,/data/B/B4/ITEM0032_学士帽.jpg,已确认
ITEM0033,花瓶,PENDING_C,若干,/data/C/ITEM0033_花瓶.jpg,已确认
ITEM0034,彩色编织篮,PENDING_C,若干,/data/C/ITEM0034_彩色编织篮.jpg,已确认
ITEM0035,茶具,PENDING_C,若干,/data/C/ITEM0035_茶具.jpg,已确认
ITEM0036,酒礼盒,PENDING_C,若干,/data/C/ITEM0036_酒礼盒.jpg,已确认
ITEM0037,风车,PENDING_C,若干,/data/C/ITEM0037_风车.jpg,已确认
ITEM0038,奖品笔记本套装,PENDING_C,若干,/data/C/ITEM0038_奖品笔记本套装.jpg,已确认
ITEM0039,捏捏乐玩具,PENDING_C,若干,/data/C/ITEM0039_捏捏乐玩具.jpg,已确认
ITEM0040,面具与手机支架,PENDING_C,若干,/data/C/ITEM0040_面具与手机支架.jpg,已确认
ITEM0041,古装道具剑与折扇,PENDING_C,若干,/data/C/ITEM0041_古装道具剑与折扇.jpg,已确认
ITEM0042,手持标语牌,C3,若干,/data/C/C3/ITEM0042_手持标语牌.jpg,已确认
ITEM0043,抽奖箱,C3,若干,/data/C/C3/ITEM0043_抽奖箱.jpg,已确认
ITEM0044,羊角锤,C4,若干,/data/C/C4/ITEM0044_羊角锤.jpg,已确认
ITEM0045,钢丝钳,C4,若干,/data/C/C4/ITEM0045_钢丝钳.jpg,已确认
ITEM0046,卷尺,C4,若干,/data/C/C4/ITEM0046_卷尺.jpg,已确认
ITEM0047,铁丝,C4,若干,/data/C/C4/ITEM0047_铁丝.jpg,已确认
ITEM0048,台式电脑主机,C4,若干,/data/C/C4/ITEM0048_台式电脑主机.jpg,已确认
ITEM0049,黑板,C4,若干,/data/C/C4/ITEM0049_黑板.jpg,已确认
ITEM0050,收录机,C4,若干,/data/C/C4/ITEM0050_收录机.jpg,已确认
ITEM0051,手提音箱,C4,若干,/data/C/C4/ITEM0051_手提音箱.jpg,已确认
ITEM0052,键盘,C4,若干,/data/C/C4/ITEM0052_键盘.jpg,已确认
ITEM0053,长尾票夹,D2,若干,/data/D/D2/ITEM0053_长尾票夹.jpg,已确认
ITEM0054,活动手牌与塑料扇,D2,若干,/data/D/D2/ITEM0054_活动手牌与塑料扇.jpg,已确认
ITEM0055,超轻粘土,D2,若干,/data/D/D2/ITEM0055_超轻粘土.jpg,已确认
ITEM0056,眼罩,D2,若干,/data/D/D2/ITEM0056_眼罩.jpg,已确认
ITEM0057,防滑粉,D2,若干,/data/D/D2/ITEM0057_防滑粉.jpg,已确认
ITEM0058,乒乓球,D2,若干,/data/D/D2/ITEM0058_乒乓球.jpg,已确认
ITEM0059,红色罐装喷剂,D2,若干,/data/D/D2/ITEM0059_红色罐装喷剂.jpg,待确认具体用途
ITEM0060,书签,D2,若干,/data/D/D2/ITEM0060_书签.jpg,已确认
ITEM0061,护具与手套,D2,若干,/data/D/D2/ITEM0061_护具与手套.jpg,已确认
ITEM0062,迷彩油彩,D2,若干,/data/D/D2/ITEM0062_迷彩油彩.jpg,已确认
ITEM0063,乒乓球拍,D2,若干,/data/D/D2/ITEM0063_乒乓球拍.jpg,已确认
ITEM0064,帆布鞋,D2,若干,/data/D/D2/ITEM0064_帆布鞋.jpg,已确认
ITEM0065,学部Logo贴纸,D3,若干,/data/D/D3/ITEM0065_学部Logo贴纸.jpg,已确认
ITEM0066,气球与打气筒,D3,若干,/data/D/D3/ITEM0066_气球与打气筒.jpg,已确认
ITEM0067,直尺,D3,若干,/data/D/D3/ITEM0067_直尺.jpg,已确认
ITEM0068,尼龙扎带,D3,若干,/data/D/D3/ITEM0068_尼龙扎带.jpg,已确认
ITEM0069,透明塑料扎带,D3,若干,/data/D/D3/ITEM0069_透明塑料扎带.jpg,待确认具体类型
ITEM0070,透明胶带,D3,若干,/data/D/D3/ITEM0070_透明胶带.jpg,已确认
ITEM0071,彩色笔,D3,若干,/data/D/D3/ITEM0071_彩色笔.jpg,已确认
ITEM0072,自喷漆,D3,若干,/data/D/D3/ITEM0072_自喷漆.jpg,已确认
ITEM0073,墨镜,D3,若干,/data/D/D3/ITEM0073_墨镜.jpg,已确认
ITEM0074,党建工作室招新报名表,D3,若干,/data/D/D3/ITEM0074_党建工作室招新报名表.jpg,已确认
ITEM0075,针线盒,D3,若干,/data/D/D3/ITEM0075_针线盒.jpg,已确认
ITEM0076,聘书,D3,若干,/data/D/D3/ITEM0076_聘书.jpg,已确认
ITEM0077,双面泡棉胶带,D3,若干,/data/D/D3/ITEM0077_双面泡棉胶带.jpg,已确认
ITEM0078,木质展示架,D4,若干,/data/D/D4/ITEM0078_木质展示架.jpg,已确认
ITEM0079,落地宣传牌与配重,FLOOR,若干,/data/FLOOR/ITEM0079_落地宣传牌与配重.jpg,区域总览
ITEM0080,竹竿,FLOOR,若干,/data/FLOOR/ITEM0080_竹竿.jpg,已确认
ITEM0081,展架配重底座,FLOOR,若干,/data/FLOOR/ITEM0081_展架配重底座.jpg,已确认
ITEM0082,展架支撑杆,FLOOR,若干,/data/FLOOR/ITEM0082_展架支撑杆.jpg,待确认具体展架
ITEM0083,宣传海报与展板,FLOOR,若干,/data/FLOOR/ITEM0083_宣传海报与展板.jpg,已确认
ITEM0084,黑色卷筒物料,FLOOR,若干,/data/FLOOR/ITEM0084_黑色卷筒物料.jpg,待确认具体类型
ITEM0085,折叠平板车,PENDING_A,若干,/data/A/ITEM0085_折叠平板车.jpg,已确认
ITEM0086,塑料盆组,B3,若干,/data/B/B3/ITEM0086_塑料盆组.jpg,已确认
ITEM0087,金属收纳篮,FLOOR,若干,/data/FLOOR/ITEM0087_金属收纳篮.jpg,已确认
ITEM0088,拾物夹,DOOR,若干,/data/DOOR/ITEM0088_拾物夹.jpg,已确认
ITEM0089,不锈钢伸缩杆,DOOR,若干,/data/DOOR/ITEM0089_不锈钢伸缩杆.jpg,已确认
ITEM0090,平板拖把,DOOR,若干,/data/DOOR/ITEM0090_平板拖把.jpg,已确认
ITEM0091,宣传横幅与展板,PENDING_A,若干,/data/A/ITEM0091_宣传横幅与展板.jpg,区域总览
ITEM0092,展架圆形配重底座,C4,若干,/data/C/C4/ITEM0092_展架圆形配重底座.jpg,已确认
